"name","year","urban","rural"
"АР Крим",1990,"1.9","3.6"
"АР Крим",1991,"0.0","2.7"
"АР Крим",1992,"-1.9","1.4"
"АР Крим",1993,"-4.0","-0.2"
"АР Крим",1994,"-5.9","-1.4"
"АР Крим",1995,"-7.3","-3.3"
"АР Крим",1996,"-6.7","-4.1"
"АР Крим",1997,"-5.9","-3.9"
"АР Крим",1998,"-6.2","-4.4"
"АР Крим",1999,"-6.1","-4.6"
"АР Крим",2000,"-7.2","-5.6"
"АР Крим",2001,"-7.4","-5.6"
"АР Крим",2002,"-7.4","-5.7"
"АР Крим",2003,"-7.2","-5.4"
"АР Крим",2004,"-6.4","-5.5"
"АР Крим",2005,"-6.9","-6.2"
"АР Крим",2006,"-5.8","-4.5"
"АР Крим",2007,"-5.6","-3.7"
"АР Крим",2008,"-4.5","-2.4"
"АР Крим",2009,"-3.3","-1.2"
"АР Крим",2010,"-3.6","-1.1"
"АР Крим",2011,"-3.2","-0.3"
"АР Крим",2012,"-2.2","0.6"
"АР Крим",2013,"-2.7","0.5"
"Вінницька ",1990,"5.0","-7.9"
"Вінницька ",1991,"3.7","-9.1"
"Вінницька ",1992,"2.7","-9.4"
"Вінницька ",1993,"0.8","-10.8"
"Вінницька ",1994,"-","-11.6"
"Вінницька ",1995,"-0.5","-12.1"
"Вінницька ",1996,"-0.9","-12.3"
"Вінницька ",1997,"-1.2","-12.1"
"Вінницька ",1998,"-2.3","-11.7"
"Вінницька ",1999,"-2.8","-12.0"
"Вінницька ",2000,"-3.8","-12.5"
"Вінницька ",2001,"-3.4","-12.5"
"Вінницька ",2002,"-3.0","-12.5"
"Вінницька ",2003,"-2.8","-13.4"
"Вінницька ",2004,"-2.2","-13.1"
"Вінницька ",2005,"-3.1","-14.7"
"Вінницька ",2006,"-1.7","-13.2"
"Вінницька ",2007,"-1.7","-13.0"
"Вінницька ",2008,"-0.8","-11.7"
"Вінницька ",2009,"0.2","-10.6"
"Вінницька ",2010,"-0.6","-10.3"
"Вінницька ",2011,"0.2","-9.4"
"Вінницька ",2012,"0.5","-8.8"
"Вінницька ",2013,"-0.3","-9.6"
"Вінницька ",2014,"-0.5","-9.6"
"Вінницька ",2015,"-1.3","-10.1"
"Волинська ",1990,"8.6","-0.5"
"Волинська ",1991,"6.2","-2.2"
"Волинська ",1992,"6.2","-1.5"
"Волинська ",1993,"4.5","-2.0"
"Волинська ",1994,"3.3","-3.1"
"Волинська ",1995,"1.5","-3.7"
"Волинська ",1996,"1.2","-3.3"
"Волинська ",1997,"1.1","-4.3"
"Волинська ",1998,"0.3","-3.1"
"Волинська ",1999,"-1.1","-4.4"
"Волинська ",2000,"-1.6","-4.1"
"Волинська ",2001,"-1.7","-4.5"
"Волинська ",2002,"-1.2","-4.7"
"Волинська ",2003,"-1.1","-5.6"
"Волинська ",2004,"-0.2","-5.0"
"Волинська ",2005,"-0.3","-6.0"
"Волинська ",2006,"1.0","-4.7"
"Волинська ",2007,"1.2","-4.2"
"Волинська ",2008,"1.9","-2.7"
"Волинська ",2009,"3.2","-2.1"
"Волинська ",2010,"2.4","-1.6"
"Волинська ",2011,"2.2","-0.8"
"Волинська ",2012,"2.9","0.2"
"Волинська ",2013,"2.2","-0.3"
"Волинська ",2014,"2.1","-0.5"
"Волинська ",2015,"1.0","-1.8"
"Дніпропетровська ",1990,"1.5","-4.6"
"Дніпропетровська ",1991,"0.1","-5.5"
"Дніпропетровська ",1992,"-1.8","-7.4"
"Дніпропетровська ",1993,"-3.6","-8.8"
"Дніпропетровська ",1994,"-5.1","-9.5"
"Дніпропетровська ",1995,"-6.5","-10.7"
"Дніпропетровська ",1996,"-7.1","-11.4"
"Дніпропетровська ",1997,"-7.0","-11.9"
"Дніпропетровська ",1998,"-6.7","-10.6"
"Дніпропетровська ",1999,"-8.0","-11.9"
"Дніпропетровська ",2000,"-8.5","-12.5"
"Дніпропетровська ",2001,"-8.1","-11.9"
